,0,1,2,3
0,"[651.9456655172413, 1023.0670172413794, 763.8142275862068, 34.33556896551725, 36.95778965517243, 48.79634482758622, 62.524441379310346, 61.86888620689656, 62.10025862068966, 61.020520689655186, 62.408755172413805, 99.69827586206897, 63.10287241379311, 61.444703448275874, 61.32901724137932, 65.64796896551725, 69.31136551724138, 70.39110344827586, 71.81790000000001, 64.33685862068967, 70.39110344827586, 71.47084137931036, 66.57345862068966, 67.7688827586207, 69.96692068965517, 65.33947241379312, 64.68391724137932]","[72.76641379310344, 72.6397448275862, 74.15977241379309, 74.4764448275862, 74.53977931034483, 74.41311034482757, 74.34977586206895, 74.03310344827587, 73.71643103448275, 73.84309999999999, 73.27308965517241, 71.18305172413793, 72.13306896551724, 71.6897275862069, 72.70307931034482, 71.30972068965517, 71.18305172413793, 70.73971034482759, 69.85302758620689, 68.83967586206896, 68.45966896551724, 68.58633793103448, 68.333, 68.39633448275862, 68.64967241379308, 68.20633103448274, 67.50965172413792]","[70.0479, 70.5303, 71.9775, 71.61569999999999, 70.7715, 70.40969999999999, 70.2891, 70.2891, 70.1685, 69.92729999999999, 70.1685, 68.4198, 68.60069999999999, 69.38459999999999, 70.71119999999999, 70.1082, 69.38459999999999, 69.6258, 68.9022, 67.8168, 69.1434, 68.9022, 69.1434, 69.1434, 69.5655, 69.38459999999999, 69.3243]","[69.4688551724138, 69.86363448275863, 72.03492068965518, 71.96912413793103, 71.24536206896552, 70.25841379310344, 70.06102413793104, 70.06102413793104, 69.9952275862069, 69.92943103448276, 70.12682068965518, 68.28451724137932, 68.41611034482759, 69.6662448275862, 70.45580344827586, 70.12682068965518, 69.79783793103448, 69.27146551724138, 68.35031379310344, 68.28451724137932, 69.33726206896552, 69.40305862068966, 69.4688551724138, 69.6662448275862, 69.1398724137931, 69.00827931034482, 69.4688551724138]"
1,"[68.30875172413793, 73.3603827586207, 72.20352068965518, 60.172155172413795, 70.54535172413793, 71.97214827586208, 62.71725172413794, 70.0440448275862, 71.62508965517243, 65.26234827586208, 70.0054827586207, 70.0440448275862, 70.50678965517243, 70.58391379310346, 69.88979655172415, 70.31397931034485, 70.93097241379311, 69.27280344827587, 70.85384827586208, 70.8924103448276, 69.38848965517242, 70.23685517241381, 71.3551551724138, 66.99764137931035, 70.35254137931035, 71.3551551724138, 66.22640000000001, 70.15973103448277]","[66.93964137931033, 66.74963793103448, 66.87630689655171, 66.87630689655171, 66.93964137931033, 67.38298275862068, 67.95299310344828, 67.88965862068966, 68.64967241379308, 68.71300689655172, 68.90301034482758, 68.90301034482758, 68.77634137931034, 68.9663448275862, 68.71300689655172, 68.64967241379308, 68.52300344827586, 68.58633793103448, 68.83967586206896, 68.83967586206896, 68.64967241379308, 68.90301034482758, 68.83967586206896, 68.64967241379308, 68.64967241379308, 68.64967241379308, 68.83967586206896, 68.9663448275862]","[69.9876, 69.7464, 69.6861, 69.7464, 69.5655, 69.6861, 70.0479, 69.86699999999999, 69.9876, 69.80669999999999, 69.7464, 70.0479, 69.86699999999999, 70.0479, 70.1685, 70.1082, 70.2891, 70.34939999999999, 70.1082, 70.0479, 70.2288, 70.1685, 70.34939999999999, 70.34939999999999, 70.40969999999999, 70.47, 70.2891, 70.2288]","[69.92943103448276, 70.12682068965518, 70.19261724137932, 69.86363448275863, 70.12682068965518, 69.9952275862069, 69.79783793103448, 69.9952275862069, 70.12682068965518, 69.86363448275863, 70.06102413793104, 70.06102413793104, 69.86363448275863, 69.9952275862069, 69.9952275862069, 69.73204137931035, 69.6662448275862, 69.79783793103448, 69.79783793103448, 69.79783793103448, 69.79783793103448, 69.9952275862069, 69.92943103448276, 69.73204137931035, 69.73204137931035, 69.79783793103448, 69.9952275862069, 69.92943103448276]"
2,"[93.75971724137932, 62.408755172413805, 77.44796206896552, 75.51985862068966, 39.88850689655173, 70.77672413793104, 72.39633103448277, 49.37477586206897, 71.08522068965517, 70.62247586206897, 69.81267241379311, 71.85646206896551, 73.66887931034485, 35.45386896551725, 67.88456896551725, 78.60482413793105, 64.83816551724139, 72.66626551724138, 74.28587241379311, 40.89112068965518, 69.23424137931035, 70.6610379310345, 70.27541724137932, 70.0440448275862, 70.15973103448277, 70.58391379310346, 69.15711724137931]","[68.333, 68.20633103448274, 68.26966551724138, 68.14299655172412, 68.0163275862069, 68.0796620689655, 67.88965862068966, 68.0796620689655, 67.7629896551724, 67.69965517241378, 67.88965862068966, 67.95299310344828, 67.88965862068966, 67.82632413793102, 68.0796620689655, 67.95299310344828, 67.95299310344828, 67.82632413793102, 68.0163275862069, 67.95299310344828, 67.63632068965516, 67.95299310344828, 67.95299310344828, 68.0163275862069, 68.0163275862069, 68.0163275862069, 68.0163275862069]","[70.0479, 70.2288, 70.0479, 70.0479, 69.86699999999999, 70.1082, 70.1082, 70.1082, 69.92729999999999, 69.9876, 70.2288, 70.1082, 70.1685, 70.0479, 70.1685, 70.1082, 70.1685, 69.9876, 70.1685, 69.9876, 70.1685, 69.9876, 70.1082, 70.2288, 70.0479, 70.1082, 69.9876]","[69.86363448275863, 69.9952275862069, 69.86363448275863, 70.06102413793104, 69.92943103448276, 69.6662448275862, 69.9952275862069, 69.92943103448276, 69.9952275862069, 70.06102413793104, 70.06102413793104, 69.9952275862069, 70.06102413793104, 70.06102413793104, 69.9952275862069, 70.06102413793104, 69.79783793103448, 69.73204137931035, 69.79783793103448, 69.9952275862069, 69.86363448275863, 69.92943103448276, 69.79783793103448, 69.9952275862069, 69.73204137931035, 69.86363448275863, 69.92943103448276]"
